nome,grupo_muscular_principal,equipamento,dificuldade,gif_url,publico
Conventional Sit Up,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/conventional-sit-up.gif,true
Crunch,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/crunch.gif,true
Crunch Floor,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/crunch-floor.gif,true
Crunch Pernas Elevadas,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/crunch-pernas-elevadas.gif,true
Crunch Reverso,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/crunch-reverso.gif,true
Crunch With Leg Raise,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/crunch-with-leg-raise.gif,true
Crunch com Carga,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/crunch-com-carga.gif,true
Dead Bug,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/dead-bug.gif,true
Flexao de Quadril Abdominal,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/flexao-de-quadril-abs.gif,true
Frog Crunch,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/frog-crunch.gif,true
Hanging Knee Raises,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/hanging-knee-raises.gif,true
Obliquo Banco,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/obliquo-banco.gif,true
Obliquo Polia Baixa,abdomen,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/obliquo-polia-baixa.gif,true
Prancha,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/prancha.gif,true
Prancha Dinamica Bola,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/prancha-dinamica-bola.gif,true
Prancha Frente Tras,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/prancha-frente-tras.gif,true
Prancha Lateral com Flexao Lateral,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/prancha-lateral-com-flexao-lateral.gif,true
Prancha com Flexao Lateral de Quadril,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/prancha-com-flexao-lateral-de-quadril.gif,true
Russian Twist,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/russian-twist.gif,true
V Sit Ups,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/v-sit-ups.gif,true
Weightedsitups,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/weightedsitups.gif,true
Hiperextensao de Punho com Barra,antebraco,barra,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/hiperextensao-de-punho-com-barra.gif,true
Hiperextensao de Punho com Halteres,antebraco,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/hiperextensao-de-punho-com-halteres.gif,true
